chr	start	end
chr5	44461516	44461659
chr9	74931303	74931351
chr11	101372707	101372858
chr11	84412336	84412487
chr11	84412403	84412554
chr8	21915362	21915399
chr6	72857085	72857236
chr4	151712859	151713010
chr4	151712859	151713010
chr11	101372707	101372745
chr5	72355234	72355385
chr11	101372707	101372858
chr15	91612459	91612598
chr15	91612459	91612598
chr10	35115330	35115421
chr6	102726446	102726597
chr6	102726446	102726597
chr4	151712859	151713010
chr4	151712859	151713010
chr5	44461516	44461667
chr6	102726446	102726513
chr11	101372707	101372858
chr11	101376290	101376441
chr3	135434461	135434612
chr6	102726446	102726547
chr1	165371014	165371127
chr5	44461516	44461667
chr5	44461516	44461667
chr6	72857085	72857236
chr6	102726446	102726597
chr9	21196732	21196883
chr4	151712859	151713010
chr4	151712859	151713010
chr6	102726446	102726565
chr6	102726446	102726526
chr11	101372707	101372858
chr1	165371014	165371165
chr11	101372707	101372858
chr6	102726446	102726536
chr11	101376301	101376452
chr4	76887041	76887192
chr5	44461516	44461667
chr5	44461516	44461667
chr4	76887041	76887192
chr11	101376290	101376441
chr2	127645582	127645733
chr2	127645582	127645733
chr6	72857085	72857236
chr4	151712859	151712915
chr15	91612459	91612610
chr15	91612459	91612610
chr11	101372707	101372819
chr11	101376422	101376573
chr6	72857085	72857236
chr4	76887041	76887153
chr10	35115330	35115481
chr10	35115330	35115481
chr5	44461516	44461667
chr5	44461516	44461667
chr10	35115330	35115453
chr10	35115330	35115481
chr5	44461516	44461667
chr5	44461516	44461667
chr4	76887041	76887192
chr1	165371014	165371165
chr1	165371014	165371165
chr10	35115330	35115441
chr5	44461516	44461667
chr12	85126994	85127145
chr3	135434461	135434612
chr11	101372707	101372858
chr4	76887041	76887124
chr11	101372707	101372807
chr8	38665131	38665282
chr5	44461516	44461652
chr13	30974649	30974800
chr5	44461516	44461667
chr5	44461516	44461599
chr15	91612459	91612531
chr11	101372707	101372793
chr6	72857085	72857236
chr8	21915362	21915513
chr10	35115330	35115481
chr6	102726446	102726554
chr5	44461516	44461667
chr6	72857085	72857236
chr8	21915362	21915400
chr11	101372707	101372834
chr11	101372708	101372799
chr11	101372707	101372793
chr11	101372707	101372858
chr10	35115330	35115481
chr1	165371014	165371160
chr6	72857085	72857236
chr3	135434461	135434612
chr11	101376293	101376444
chr5	72355234	72355305
chr5	44461516	44461593
chr10	35115330	35115429
chr11	101372594	101372745
chr4	76887041	76887192
chr4	76887041	76887192
chr15	91612459	91612514
chr5	72355234	72355385
chr11	101376296	101376447
chr6	72857085	72857236
chr6	72857085	72857236
chr11	101372707	101372787
chr8	78753901	78754052
chr10	35115330	35115481
chr10	35115330	35115481
chr12	85126994	85127145
chr4	76887041	76887192
chr4	76887041	76887192
chr6	102726446	102726538
chr11	101372707	101372778
chr6	102726446	102726597
chr6	102726446	102726597
chr4	151712859	151713010
chr4	151712859	151713010
chr3	135434461	135434612
chr11	101376301	101376452
chr4	151712859	151712993
chr11	101372707	101372858
chr11	101372707	101372788
chr1	165371014	165371165
chr15	91612459	91612534
chr15	91612459	91612552
chr11	101376293	101376374
chr11	101372638	101372746
chr1	165371014	165371126
chr1	165371014	165371165
chr11	101372707	101372858
chr5	44461516	44461644
chr5	44461516	44461667
chr5	44461516	44461667
chr6	72857085	72857236
chr6	72857085	72857236
chr11	101376292	101376443
chr6	72857085	72857236
chr6	72857085	72857236
chr2	127645581	127645617
chr5	44461516	44461667
chr4	151712859	151713010
chr5	44461516	44461667
chr5	44461516	44461667
chr11	101372707	101372793
chr11	101372707	101372810
chr5	44461516	44461606
chr1	165371014	165371112
chr11	101376300	101376451
chr11	101376422	101376573
chr6	102726446	102726597
chr6	102726446	102726597
chr7	111672134	111672172
chr4	76887041	76887158
chr4	76887041	76887158
chr11	101376293	101376444
chr11	101372707	101372759
chr11	101372707	101372858
chr5	44461516	44461667
chr15	91612459	91612610
chr1	165371014	165371165
chr2	86381635	86381670
chr4	151712859	151713010
chr4	151712859	151713010
chr4	151712859	151713010
chr6	72857085	72857236
chr9	74931303	74931454
chr11	101372707	101372858
chr4	151712859	151712956
chr5	44461516	44461667
chr6	102726446	102726597
chr6	102726446	102726597
chr3	135434461	135434564
chr11	101372707	101372798
chr10	35115330	35115481
chr10	35115330	35115481
chr15	91612459	91612556
chr8	38665131	38665282
chr6	72857085	72857236
chr2	180526048	180526087
chr7	111672134	111672184
chr11	101367617	101367768
chr11	101372707	101372801
chr11	101372707	101372801
chr7	111672134	111672186
chr6	102726446	102726597
chr10	35115330	35115451
chr10	35115330	35115451
chr8	21915362	21915513
chr11	101372707	101372858
chr11	101372709	101372748
chr5	44461516	44461667
chr5	44461516	44461667
chr5	44461516	44461667
chr3	135434462	135434551
chr6	102726446	102726503
chr11	101372707	101372827
chr10	35115330	35115451
chr8	78753901	78754052
chr11	101372707	101372858
chr11	101372707	101372802
chr11	101372707	101372765
chr5	44461516	44461563
chr10	35115330	35115412
chr8	78753901	78754052
chr11	101372707	101372824
chr10	35115330	35115455
chr8	21915362	21915513
chr5	44461516	44461616
chr10	35115330	35115481
chr10	35115330	35115481
chr11	101372707	101372805
chr10	35115330	35115419
chr11	101376302	101376453
chr11	101376422	101376573
chr6	72857085	72857236
chr4	76887041	76887192
chr4	76887041	76887192
chr12	85126993	85127051
chr5	44461516	44461617
chr10	35115330	35115481
chr10	35115330	35115481
chr15	91612459	91612553
chr10	35115330	35115481
chr2	180526048	180526199
chr2	180526048	180526199
