chr	start	end
chr2	152823943	152823995
chr4	151712859	151712949
chr12	109410020	109410131
chr12	109410020	109410131
chr6	102726446	102726597
chr6	102726446	102726597
chr11	101372707	101372819
chr6	102726446	102726597
chr6	102726446	102726597
chr4	76887041	76887167
chr4	76887041	76887167
chr6	102726446	102726597
chr4	76887041	76887166
chr8	21915362	21915412
chr5	44461516	44461667
chr5	44461516	44461667
chr11	101376299	101376364
chr2	123707495	123707646
chr2	123707494	123707645
chr10	35115330	35115415
chr8	78753901	78754052
chr11	101372626	101372754
chr11	101372709	101372769
chr11	84412429	84412564
chr11	101376302	101376453
chr11	101376293	101376444
chr11	101372707	101372799
chr3	135434461	135434590
chr10	35115330	35115437
chr3	135434461	135434612
chr11	84412384	84412535
chr11	84412435	84412586
chr11	84412402	84412522
chr11	84412457	84412608
chr5	44461516	44461573
chr15	91612459	91612553
chr11	101376293	101376444
chr4	76887041	76887153
chr11	101372707	101372831
chr5	44461516	44461660
chr11	101372630	101372781
chr11	101372614	101372765
chr6	102726446	102726597
